Sample,Label,2-dehydro-D-gluconate,2-hydroxy-2-methylbutanedioate,2-keto-isovalerate,3-phosphoglycerate,4-aminobutyrate,4-pyridoxic acid,6-phospho-D-gluconate,acetyl-CoA,aconitate,ADP-D-glucose,alpha-ketoglutarate,AMP,CDP,CDP-ethanolamine,citraconic acid,citrate,CMP,CTP,dATP,dCTP,deoxycholate,D-gluconate,dTTP,FAD,FGAR,FMN,folate,fructose-1-6-bisphosphate,fumarate,GDP,glucose-1-phosphate,glucose-6-phosphate,glutathione,glutathione disulfide,glutathione-S-sulfonate,glycerol-3-phosphate,GTP,guanosine,indole-3-carboxylate,inosine,isocitrate,kynurenine,lactate,malate,N-acetyl-glucosamine-1/6-phosphate,N-acetyl-glutamate,N-Acetyl-L-alanine,NAD+,NADH,NADP+,N-carbamoyl-L-aspartate,Octulose-8/1-P,octulose-bisphosphate,pantothenate,pyroglutamate,pyruvate,riboflavin,ribose-phosphate,sarcosine,sedoheptulose-1/7-phosphate,sedoheptulose-bisphosphate,S-methyl-5-thioadenosine,succinate,UDP,UDP-D-glucose,UDP-D-glucuronate,UDP-N-acetyl-glucosamine,UMP,urate,uridine,UTP,2-dehydro-D-gluconate,2-hydroxy-2-methylbutanedioate,2-keto-isovalerate,3-phosphoglycerate,4-aminobutyrate,4-pyridoxic acid,6-phospho-D-gluconate,acetyl-CoA,aconitate,ADP-D-glucose,alpha-ketoglutarate,AMP,CDP,CDP-ethanolamine,citraconic acid,citrate,CMP,CTP,dATP,dCTP,deoxycholate,D-gluconate,dTTP,FAD,FGAR,FMN,folate,fructose-1-6-bisphosphate,fumarate,GDP,glucose-1-phosphate,glucose-6-phosphate,glutathione,glutathione disulfide,glutathione-S-sulfonate,glycerol-3-phosphate,GTP,guanosine,indole-3-carboxylate,inosine,isocitrate,kynurenine,lactate,malate,N-acetyl-glucosamine-1/6-phosphate,N-acetyl-glutamate,N-Acetyl-L-alanine,NAD+,NADH,NADP+,N-carbamoyl-L-aspartate,Octulose-8/1-P,octulose-bisphosphate,pantothenate,pyroglutamate,pyruvate,riboflavin,ribose-phosphate,sarcosine,sedoheptulose-1/7-phosphate,sedoheptulose-bisphosphate,S-methyl-5-thioadenosine,succinate,UDP,UDP-D-glucose,UDP-D-glucuronate,UDP-N-acetyl-glucosamine,UMP,urate,uridine,UTP
HT1080_DMSO_01,DMSO,1681.063,6353728,89396.93,82959.7,1051829,6920.928,13898.86,3940.063,30049.64,29761.25,75807.48,33701.78,5475.341,1000,2473523,605450.2,1000,171333.5,11955.19,8357.337,30169.18,5385.315,55178.68,2774.614,10093.46,2868.104,122249.3,119747.4,304826,16311.89,11654,142936.3,104957.4,1582559,21468.35,237518.1,79956.41,1000,15823.55,1094.577,49325.68,1634.651,10890810,1345297,8519.003,127745.1,20928.53,129065.6,83442.8,10114.45,71836.77,9460.349,3314.286,1820544,12007770,50351.06,4906.28,16065.1,76220.58,8498.731,8430.482,3880.308,122003.8,31868.37,685827.8,808080.2,4477240,12426.19,10414.46,1406.47,658524.6,1681.063,6353728,89396.93,82959.7,1051829,6920.928,13898.86,3940.063,30049.64,29761.25,75807.48,33701.78,5475.341,1000,2473523,605450.2,1000,171333.5,11955.19,8357.337,30169.18,5385.315,55178.68,2774.614,10093.46,2868.104,122249.3,119747.4,304826,16311.89,11654,142936.3,104957.4,1582559,21468.35,237518.1,79956.41,1000,15823.55,1094.577,49325.68,1634.651,10890810,1345297,8519.003,127745.1,20928.53,129065.6,83442.8,10114.45,71836.77,9460.349,3314.286,1820544,12007770,50351.06,4906.28,16065.1,76220.58,8498.731,8430.482,3880.308,122003.8,31868.37,685827.8,808080.2,4477240,12426.19,10414.46,1406.47,658524.6
HT1080_DMSO_02,DMSO,1000,5788824,52462.98,66399.75,751368.5,6555.021,15109.2,3120.576,23157.81,31865.28,75484.14,24124.12,3886.708,1000,2190919,487248.6,1000,152276.9,16061.94,7256.863,26195.1,4101.406,58307.66,3228.304,8839.798,2228.427,113728.3,111922.4,273098.2,6524.603,9537.741,156238.8,134636.5,1747003,23800.76,191306,85247.37,1032.213,15185.35,1000,48716.51,1596.916,9960221,1306668,6215.34,122536.9,16693.16,120945.7,92380.38,10354.66,52390.68,7696.655,2975.421,1589920,12037900,32226.59,4146.085,12027.48,66256.88,7236.31,9062.658,3835.24,137233.4,27557.94,653221.3,755589,3862246,13183.93,7683.372,1000,633130.7,1000,5788824,52462.98,66399.75,751368.5,6555.021,15109.2,3120.576,23157.81,31865.28,75484.14,24124.12,3886.708,1000,2190919,487248.6,1000,152276.9,16061.94,7256.863,26195.1,4101.406,58307.66,3228.304,8839.798,2228.427,113728.3,111922.4,273098.2,6524.603,9537.741,156238.8,134636.5,1747003,23800.76,191306,85247.37,1032.213,15185.35,1000,48716.51,1596.916,9960221,1306668,6215.34,122536.9,16693.16,120945.7,92380.38,10354.66,52390.68,7696.655,2975.421,1589920,12037900,32226.59,4146.085,12027.48,66256.88,7236.31,9062.658,3835.24,137233.4,27557.94,653221.3,755589,3862246,13183.93,7683.372,1000,633130.7
HT1080_DMSO_03,DMSO,1358.565,6473928,93677.73,61797.77,940448.7,7313.412,13286,3740.212,31856.76,26542.28,80732.41,19677.88,3794.234,1000,2460211,548041.2,1000,144085.9,11445.31,7570.496,32447.4,17395.02,61598.73,2920.41,9265.441,1853.938,110272.7,102637.4,315684.5,5283.97,10770.53,113090.6,124888,1427331,21998.59,245068.3,72763.26,1000,12018.1,1000,56239.51,1736.446,9673662,1374211,6052.802,124525.8,22005.54,132491.7,83831.49,9637.801,85629.95,9416.642,2624.581,1729170,11639610,54644.31,4544.324,13188.55,71316.48,8314.295,8066.525,3551.121,130171.7,24932.21,669119.6,826940.7,4418366,10784.97,7115.985,1009.717,621969.1,1358.565,6473928,93677.73,61797.77,940448.7,7313.412,13286,3740.212,31856.76,26542.28,80732.41,19677.88,3794.234,1000,2460211,548041.2,1000,144085.9,11445.31,7570.496,32447.4,17395.02,61598.73,2920.41,9265.441,1853.938,110272.7,102637.4,315684.5,5283.97,10770.53,113090.6,124888,1427331,21998.59,245068.3,72763.26,1000,12018.1,1000,56239.51,1736.446,9673662,1374211,6052.802,124525.8,22005.54,132491.7,83831.49,9637.801,85629.95,9416.642,2624.581,1729170,11639610,54644.31,4544.324,13188.55,71316.48,8314.295,8066.525,3551.121,130171.7,24932.21,669119.6,826940.7,4418366,10784.97,7115.985,1009.717,621969.1
HT1080_ML162_01,ML162,3551.66,5649644,163184,14526.66,458982.6,7687.906,9131.547,4632.623,36402.18,32537.31,41617.22,61938.44,13847.02,6708.285,2196881,549674.7,2984.419,111531.6,4208.882,1780.031,2897.377,139880.9,16848.94,2804.188,1000,1981.415,144103.7,42537.11,214720.3,16106.45,1924.297,126049.8,141460.8,1463436,29320.3,56406.52,48237.64,3023.776,6265.773,6325.236,70993.34,2395.523,10156140,1049075,13577.76,204077,22686.91,121087.5,74783.2,8955.948,1570.204,7241.002,1158.12,1956498,9150373,93021.34,6457.912,7504.449,77940.15,8313.436,3920.415,6309.387,287631.9,43249.25,836789.8,795479.9,4480544,16134.74,9392.796,4741.688,338761.7,3551.66,5649644,163184,14526.66,458982.6,7687.906,9131.547,4632.623,36402.18,32537.31,41617.22,61938.44,13847.02,6708.285,2196881,549674.7,2984.419,111531.6,4208.882,1780.031,2897.377,139880.9,16848.94,2804.188,1000,1981.415,144103.7,42537.11,214720.3,16106.45,1924.297,126049.8,141460.8,1463436,29320.3,56406.52,48237.64,3023.776,6265.773,6325.236,70993.34,2395.523,10156140,1049075,13577.76,204077,22686.91,121087.5,74783.2,8955.948,1570.204,7241.002,1158.12,1956498,9150373,93021.34,6457.912,7504.449,77940.15,8313.436,3920.415,6309.387,287631.9,43249.25,836789.8,795479.9,4480544,16134.74,9392.796,4741.688,338761.7
HT1080_ML162_02,ML162,1550.723,6078020,73002.45,55861.23,791705.6,7834.87,6144.366,4471.368,27811.47,32962.88,48035.08,51308.61,8704.374,1886.642,2316026,667318.2,2449.77,170076.3,5072.208,3225.506,33889.4,4798.678,26354.35,2202.875,1000,3420.521,139585.6,40215.43,332727.8,16257.33,3683.849,204029.6,52847.21,1536026,27639.25,47987.14,97154.01,2918.847,7710.888,7699.76,55658.3,1936.76,10810970,1496021,8584.234,140922.6,19344.71,114792.4,71261.95,10134.86,1381.454,7740.681,1150.074,1641838,12445880,78141.8,5460.729,7496.271,69550.81,6358.16,4169.92,5481.938,145863.1,33681.46,613499.6,631606,4005967,15637.46,12118.94,3520.895,418705.7,1550.723,6078020,73002.45,55861.23,791705.6,7834.87,6144.366,4471.368,27811.47,32962.88,48035.08,51308.61,8704.374,1886.642,2316026,667318.2,2449.77,170076.3,5072.208,3225.506,33889.4,4798.678,26354.35,2202.875,1000,3420.521,139585.6,40215.43,332727.8,16257.33,3683.849,204029.6,52847.21,1536026,27639.25,47987.14,97154.01,2918.847,7710.888,7699.76,55658.3,1936.76,10810970,1496021,8584.234,140922.6,19344.71,114792.4,71261.95,10134.86,1381.454,7740.681,1150.074,1641838,12445880,78141.8,5460.729,7496.271,69550.81,6358.16,4169.92,5481.938,145863.1,33681.46,613499.6,631606,4005967,15637.46,12118.94,3520.895,418705.7
HT1080_ML162_03,ML162,1381.744,5790394,72975.59,55704.57,712483.8,6946.881,6487.53,3246.568,29275.56,33519.3,45095.56,42266.72,7603.772,2091.411,2277935,596350.1,2049.51,141852.9,4405.625,2865.829,26136.43,20287.11,27895.59,2925.381,1000,1137.819,110311.9,36559.31,297920,13259.73,3597.452,162217.7,102715,1394758,24005.14,51717.5,73497.7,2481.441,5772.621,5976.49,49049.16,1531.205,9713311,1320083,8738.14,147188.4,20502.51,119981.4,72411.53,7997.963,1702.688,7556.662,1082.935,1511552,11205470,63011.23,4545.806,7141.48,63530.78,6566.279,4263.852,5114.411,118839.4,30472.21,631531.2,510646,4340214,18486.21,8060.5,3975.612,368396.4,1381.744,5790394,72975.59,55704.57,712483.8,6946.881,6487.53,3246.568,29275.56,33519.3,45095.56,42266.72,7603.772,2091.411,2277935,596350.1,2049.51,141852.9,4405.625,2865.829,26136.43,20287.11,27895.59,2925.381,1000,1137.819,110311.9,36559.31,297920,13259.73,3597.452,162217.7,102715,1394758,24005.14,51717.5,73497.7,2481.441,5772.621,5976.49,49049.16,1531.205,9713311,1320083,8738.14,147188.4,20502.51,119981.4,72411.53,7997.963,1702.688,7556.662,1082.935,1511552,11205470,63011.23,4545.806,7141.48,63530.78,6566.279,4263.852,5114.411,118839.4,30472.21,631531.2,510646,4340214,18486.21,8060.5,3975.612,368396.4
HT1080_ML210_01,ML210,1581.917,6842502,72392.29,52988.53,919933.8,7113.581,12368.04,7058.103,19728.21,28631.37,46820.37,22037.99,5758.82,1000,2690926,439669.1,1000,141132.1,9131.711,6526.781,27983.43,3958.145,43754.77,2207.43,3637.004,1274.81,117967.4,77769.09,257680.1,6421.285,6813.21,156783.7,119166.8,1590863,24328.58,81857.16,72316.65,2029.704,9487.444,3206.964,37423.98,1621.036,10893460,1236523,8494.522,140834.2,28305.68,127175.7,68997.55,6211.562,18512.93,9356.425,1938.123,1908789,12332970,65940.78,4592.288,8930.604,82882.39,8223.928,6560.631,5044.578,119378.4,22629.99,521256.3,629369.8,4294803,10478.42,13206.68,2391.828,424716.8,1581.917,6842502,72392.29,52988.53,919933.8,7113.581,12368.04,7058.103,19728.21,28631.37,46820.37,22037.99,5758.82,1000,2690926,439669.1,1000,141132.1,9131.711,6526.781,27983.43,3958.145,43754.77,2207.43,3637.004,1274.81,117967.4,77769.09,257680.1,6421.285,6813.21,156783.7,119166.8,1590863,24328.58,81857.16,72316.65,2029.704,9487.444,3206.964,37423.98,1621.036,10893460,1236523,8494.522,140834.2,28305.68,127175.7,68997.55,6211.562,18512.93,9356.425,1938.123,1908789,12332970,65940.78,4592.288,8930.604,82882.39,8223.928,6560.631,5044.578,119378.4,22629.99,521256.3,629369.8,4294803,10478.42,13206.68,2391.828,424716.8
HT1080_ML210_02,ML210,1045.455,6451418,80587.65,32311.14,863733.8,8749.517,6650.916,4855.847,20046.83,24604.98,42355.73,16303.98,2205.719,1000,2525847,390053.2,1000,88589.38,7859.837,3686.289,41518.7,2345.201,29751.95,1883.315,2736.109,1050.3,118783.4,42903.61,224452.6,2835.081,4835.387,125657.8,53885.14,1525242,22756.02,70747.51,37307.3,2182.347,7871.632,2703.936,42313.34,2148.003,9583204,1023372,6428.363,148042,21261.41,113807,66913.09,6471.44,25271.12,6559.731,1132.734,1583818,11063540,56501.71,4270.75,5879.723,64778.37,6539.182,4048.085,4171.184,115573.3,11827.12,568938,473835.5,4627858,8447.153,4896.116,1485.899,321632.1,1045.455,6451418,80587.65,32311.14,863733.8,8749.517,6650.916,4855.847,20046.83,24604.98,42355.73,16303.98,2205.719,1000,2525847,390053.2,1000,88589.38,7859.837,3686.289,41518.7,2345.201,29751.95,1883.315,2736.109,1050.3,118783.4,42903.61,224452.6,2835.081,4835.387,125657.8,53885.14,1525242,22756.02,70747.51,37307.3,2182.347,7871.632,2703.936,42313.34,2148.003,9583204,1023372,6428.363,148042,21261.41,113807,66913.09,6471.44,25271.12,6559.731,1132.734,1583818,11063540,56501.71,4270.75,5879.723,64778.37,6539.182,4048.085,4171.184,115573.3,11827.12,568938,473835.5,4627858,8447.153,4896.116,1485.899,321632.1
HT1080_ML210_03,ML210,1585.862,6515564,85590.59,49360.67,787778.1,7386.011,9545.687,4147.994,21125.97,24146.04,45775.95,18979.45,4415.354,1000,2482990,436521.1,1000,115394.1,7669.956,5373.104,31298.99,2882.432,36514.01,1904.986,3518.207,1138.225,130526.9,64149.62,238082.1,5679.076,7006.881,146841,36755.07,1541865,29479.82,96211.94,49950.96,2728.636,7238.76,3045.333,34835.71,1684.853,10567000,1099370,8276.605,148659.4,19114.8,124705.4,72357.82,6235.776,25377.45,9151.323,1954.646,2033464,11917040,62624.52,4629.9,9845.605,83698.2,8869.652,5728.511,5254.081,103634.1,18534.79,580035.4,511394.1,4709236,11363.71,11265.86,2853.941,349900.2,1585.862,6515564,85590.59,49360.67,787778.1,7386.011,9545.687,4147.994,21125.97,24146.04,45775.95,18979.45,4415.354,1000,2482990,436521.1,1000,115394.1,7669.956,5373.104,31298.99,2882.432,36514.01,1904.986,3518.207,1138.225,130526.9,64149.62,238082.1,5679.076,7006.881,146841,36755.07,1541865,29479.82,96211.94,49950.96,2728.636,7238.76,3045.333,34835.71,1684.853,10567000,1099370,8276.605,148659.4,19114.8,124705.4,72357.82,6235.776,25377.45,9151.323,1954.646,2033464,11917040,62624.52,4629.9,9845.605,83698.2,8869.652,5728.511,5254.081,103634.1,18534.79,580035.4,511394.1,4709236,11363.71,11265.86,2853.941,349900.2
HT1080_RSL3_01,RSL3,2785.941,5665662,158797.7,10274.25,485094.7,5807.513,7939.994,3822.954,38008.08,36901.2,49619.85,40983.63,8071.895,3175.637,2067391,535308.6,1937.888,90945.31,4544.56,2571.618,2377.542,82621.53,17608.49,3364.225,2029.74,1530.854,127344.5,51071.03,161948.4,10903.53,5082.016,107229.1,185027.7,1434069,24312.6,89422.91,36448.82,2254.512,5365.923,3942.576,77602.15,1719.795,9957258,787225.7,11568.77,192566,22933.55,119726.2,68495.54,7346.09,3505.445,7663.207,1302.899,1755453,9901959,68475.44,6349.601,8258.732,72407.71,8489.09,4415.362,4415.961,240653.8,28214.69,653554.7,737139.7,5082712,11790.38,8169.134,2902.916,284919,2785.941,5665662,158797.7,10274.25,485094.7,5807.513,7939.994,3822.954,38008.08,36901.2,49619.85,40983.63,8071.895,3175.637,2067391,535308.6,1937.888,90945.31,4544.56,2571.618,2377.542,82621.53,17608.49,3364.225,2029.74,1530.854,127344.5,51071.03,161948.4,10903.53,5082.016,107229.1,185027.7,1434069,24312.6,89422.91,36448.82,2254.512,5365.923,3942.576,77602.15,1719.795,9957258,787225.7,11568.77,192566,22933.55,119726.2,68495.54,7346.09,3505.445,7663.207,1302.899,1755453,9901959,68475.44,6349.601,8258.732,72407.71,8489.09,4415.362,4415.961,240653.8,28214.69,653554.7,737139.7,5082712,11790.38,8169.134,2902.916,284919
HT1080_RSL3_02,RSL3,1380.246,6206106,89711.15,54527.75,704948.9,6983.916,6772.997,3994.615,29122.99,28697.9,46083.75,32649.17,7120.352,1349.193,2344904,673068.9,1318.9,149111,6452.742,4609.773,32627.41,2121.509,29710.01,2349.601,1199.359,2528.201,120927.9,51812.6,243257.2,11825.63,5036.73,150329.9,81165.94,1479243,23731.91,67866.41,80400.98,2775.749,6658.071,5635.594,54879.94,1415.584,10014650,1092492,7914.459,144736.5,20042.42,111927.5,65017.97,7493.941,2948.04,8112.028,1373.219,1534896,11117630,62774.99,5269.036,8589.491,63677.2,7718.256,5405.295,4453.01,140392.2,22875.52,564797.1,556051.7,4406570,13368.07,11135.96,3294.846,330846.8,1380.246,6206106,89711.15,54527.75,704948.9,6983.916,6772.997,3994.615,29122.99,28697.9,46083.75,32649.17,7120.352,1349.193,2344904,673068.9,1318.9,149111,6452.742,4609.773,32627.41,2121.509,29710.01,2349.601,1199.359,2528.201,120927.9,51812.6,243257.2,11825.63,5036.73,150329.9,81165.94,1479243,23731.91,67866.41,80400.98,2775.749,6658.071,5635.594,54879.94,1415.584,10014650,1092492,7914.459,144736.5,20042.42,111927.5,65017.97,7493.941,2948.04,8112.028,1373.219,1534896,11117630,62774.99,5269.036,8589.491,63677.2,7718.256,5405.295,4453.01,140392.2,22875.52,564797.1,556051.7,4406570,13368.07,11135.96,3294.846,330846.8
HT1080_RSL3_03,RSL3,1501.776,6323622,93519.47,45729.18,704682.7,7968.887,5843.902,4114.25,35380.05,26271.06,51774.93,32861.38,5385.417,1196.067,2400170,730447.2,1369.736,144360.8,6419.944,3510.031,37121.04,22695.54,33334.59,2744.075,1187.304,1948.264,124637.6,46725.5,235058.2,8788.846,4727.23,143753,82964,1464677,25764.59,69261.2,74764.09,2945.845,7189.206,4864.844,61692.18,1589.715,10723180,1115221,8857.171,137419.8,12034.23,116061.4,63688.38,7736.463,3973.615,7417.512,1332.606,1627679,11703510,69164.64,4931.559,6723.658,67066.06,6517.857,5059.192,4876.613,136972.4,21554.23,578121.8,541732.7,4700096,13349.3,9268.956,2896.383,354947.4,1501.776,6323622,93519.47,45729.18,704682.7,7968.887,5843.902,4114.25,35380.05,26271.06,51774.93,32861.38,5385.417,1196.067,2400170,730447.2,1369.736,144360.8,6419.944,3510.031,37121.04,22695.54,33334.59,2744.075,1187.304,1948.264,124637.6,46725.5,235058.2,8788.846,4727.23,143753,82964,1464677,25764.59,69261.2,74764.09,2945.845,7189.206,4864.844,61692.18,1589.715,10723180,1115221,8857.171,137419.8,12034.23,116061.4,63688.38,7736.463,3973.615,7417.512,1332.606,1627679,11703510,69164.64,4931.559,6723.658,67066.06,6517.857,5059.192,4876.613,136972.4,21554.23,578121.8,541732.7,4700096,13349.3,9268.956,2896.383,354947.4
